observation_id,material_id,state_id,property,result_kind,value_si,minimum_si,maximum_si,unit,basis,conditions,method,source_id,source_organization,source_title,source_revision,source_locator,original_value,original_unit,significant_figures
obs-482a4b0df6a9a7f82587,al-6061,al-6061-t4,tensile_yield_strength,lower_bound,110000000.0,,,Pa,minimum,"{""product_form"": ""extrusion""}",Not specified in the cited datasheet table,hydro-6061-2019,Hydro,Alloy 6061,2019/01,"Page 2, table “6061 Extruded Mechanical and Physical Property Limits”, T4 minimum yield strength",110,MPa,2
obs-1ba45f5693d201aaf921,al-6061,al-6061-t4,thermal_conductivity,point,155.0,,,W/(m*K),typical,"{""product_form"": ""extrusion"", ""temperature_K"": 298.15}",Not specified in the cited datasheet table,hydro-6061-2019,Hydro,Alloy 6061,2019/01,"Page 2, table “6061 Extruded Mechanical and Physical Property Limits”, T4 typical thermal conductivity",155,W/(m·K),3
obs-4acacc882e3dbe3c39ed,al-6061,,density,point,2712.630661599906,,,kg/m^3,typical,{},Not specified in the cited datasheet table,hydro-6061-2019,Hydro,Alloy 6061,2019/01,"Page 2, alloy-wide density above the chemical composition table: 0.098 lb/in³; no temper specified",0.098,lb/in³,2
obs-fd562a821429c26c2fac,al-6061,al-6061-t6,tensile_yield_strength,lower_bound,240000000.0,,,Pa,minimum,"{""product_form"": ""extrusion""}",Not specified in the cited datasheet table,hydro-6061-2019,Hydro,Alloy 6061,2019/01,"Page 2, table “6061 Extruded Mechanical and Physical Property Limits”, T6 minimum yield strength",240,MPa,2
obs-ce45c34ba6b45ffacc57,al-6061,al-6061-t6,thermal_conductivity,point,167.0,,,W/(m*K),typical,"{""product_form"": ""extrusion"", ""temperature_K"": 298.15}",Not specified in the cited datasheet table,hydro-6061-2019,Hydro,Alloy 6061,2019/01,"Page 2, table “6061 Extruded Mechanical and Physical Property Limits”, T6 typical thermal conductivity",167,W/(m·K),3
obs-c9de5547ad8d4c0a7438,tecaran-abs-grey,,density,point,1040.0,,,kg/m^3,typical,"{""product_form"": ""stock_shape""}",DIN EN ISO 1183,ensinger-manual,Ensinger,Stock shapes — Engineering plastics manual,Snapshot 9b46c0ae1e72,"Page 88, Material standard values, column 1 (TECARAN ABS grey), row Density",1.04,g/cm³,3
obs-ad26df2567f44dfee560,tecaran-abs-grey,,youngs_modulus,point,1700000000.0,,,Pa,typical,"{""product_form"": ""stock_shape""}",DIN EN ISO 527-2,ensinger-manual,Ensinger,Stock shapes — Engineering plastics manual,Snapshot 9b46c0ae1e72,"Page 88, Material standard values, column 1 (TECARAN ABS grey), row Modulus of elasticity (tensile test)","1,700",MPa,4
obs-d25ead22f83541fbfc4a,tecaran-abs-grey,,ultimate_tensile_strength,point,32000000.0,,,Pa,typical,"{""product_form"": ""stock_shape""}",DIN EN ISO 527-2,ensinger-manual,Ensinger,Stock shapes — Engineering plastics manual,Snapshot 9b46c0ae1e72,"Page 88, Material standard values, column 1 (TECARAN ABS grey), row Tensile strength",32,MPa,2
obs-f83647f4042456b738d7,tecaran-abs-grey,,tensile_yield_strength,point,32000000.0,,,Pa,typical,"{""product_form"": ""stock_shape""}",DIN EN ISO 527-2,ensinger-manual,Ensinger,Stock shapes — Engineering plastics manual,Snapshot 9b46c0ae1e72,"Page 88, Material standard values, column 1 (TECARAN ABS grey), row Tensile strength at yield",32,MPa,2
obs-78eeecbcbb379a3dfc80,tecaran-abs-grey,,elongation_at_break,point,0.49,,,1,typical,"{""product_form"": ""stock_shape""}",DIN EN ISO 527-2,ensinger-manual,Ensinger,Stock shapes — Engineering plastics manual,Snapshot 9b46c0ae1e72,"Page 88, Material standard values, column 1 (TECARAN ABS grey), row Elongation at break",49,%,2
